ID,lat,lon,geometry
1854,51.478298,-3.17032,POINT (-3.17032 51.478298)
1855,51.47934,-3.173709,POINT (-3.173709 51.47934)
1856,51.479103,-3.174819,POINT (-3.174819 51.479103)
1857,51.47984,-3.174408,POINT (-3.174408 51.47984)
1858,51.484554,-3.172682,POINT (-3.172682 51.484554)
1859,51.483881,-3.173242,POINT (-3.173242 51.483881)
1860,51.483101,-3.17577,POINT (-3.17577 51.483101)
1861,51.520046,-3.194338,POINT (-3.194338 51.520046)
1862,51.767508,-3.16133,POINT (-3.16133 51.767508)
1863,51.799865,-3.17521,POINT (-3.17521 51.799865)
1864,51.592386,-3.18374,POINT (-3.18374 51.592386)
1865,51.772424,-3.08331,POINT (-3.08331 51.772424)
1866,51.483999,-3.166333,POINT (-3.166333 51.483999)
1867,51.61,-3.10156,POINT (-3.10156 51.61)
1868,51.019451,-3.105177,POINT (-3.105177 51.019451)
1869,51.021139,-3.105951,POINT (-3.105951 51.021139)
1870,51.02111,-3.1065,POINT (-3.1065 51.02111)
1871,51.01809,-3.10641,POINT (-3.10641 51.01809)
1872,51.60259,-3.097831,POINT (-3.097831 51.60259)
1873,51.4737,-3.1859,POINT (-3.1859 51.4737)
1874,51.010601,-3.071615,POINT (-3.071615 51.010601)
1875,51.014082,-3.067996,POINT (-3.067996 51.014082)
1876,51.013141,-3.068797,POINT (-3.068797 51.013141)
1877,51.488436,-3.183733,POINT (-3.183733 51.488436)
1878,51.485936,-3.176613,POINT (-3.176613 51.485936)
1879,51.488785,-3.18267,POINT (-3.18267 51.488785)
1880,51.018884,-3.083035,POINT (-3.083035 51.018884)
1881,51.795429,-3.17491,POINT (-3.17491 51.795429)
1882,53.16683,-3.136646,POINT (-3.136646 53.16683)
1883,53.181515,-3.117729,POINT (-3.117729 53.181515)
1884,53.408265,-3.071552,POINT (-3.071552 53.408265)
1885,54.252651,-7.442562,POINT (-7.442562 54.252651)
1886,54.294425,-7.464137,POINT (-7.464137 54.294425)
1887,54.34759,-7.64384,POINT (-7.64384 54.34759)
1888,54.6016,-7.2896,POINT (-7.2896 54.6016)
1889,55.032974,-7.199414,POINT (-7.199414 55.032974)
1890,54.936044,-7.189315,POINT (-7.189315 54.936044)
1891,54.606228,-7.271816,POINT (-7.271816 54.606228)
1892,55.033558,-7.192323,POINT (-7.192323 55.033558)
1893,54.913637,-7.164786,POINT (-7.164786 54.913637)
1894,51.742685,-1.25711,POINT (-1.25711 51.742685)
1895,51.749146,-1.224164,POINT (-1.224164 51.749146)
1896,51.749497,-1.224329,POINT (-1.224329 51.749497)
1897,51.483864,-1.557815,POINT (-1.557815 51.483864)
1898,51.483906,-1.556802,POINT (-1.556802 51.483906)
1899,51.750928,-1.274737,POINT (-1.274737 51.750928)
1900,51.584937,-2.993023,POINT (-2.993023 51.584937)
1901,51.5843,-2.99532,POINT (-2.99532 51.5843)
1902,51.584522,-2.99694,POINT (-2.99694 51.584522)
1903,51.583903,-2.99452,POINT (-2.99452 51.583903)
1905,50.72246,-1.87666,POINT (-1.87666 50.72246)
1906,50.722929,-1.876601,POINT (-1.876601 50.722929)
1907,50.720901,-1.87937,POINT (-1.87937 50.720901)
1908,50.717185,-1.884433,POINT (-1.884433 50.717185)
1909,50.722512,-1.876878,POINT (-1.876878 50.722512)
1910,51.542469,-1.905876,POINT (-1.905876 51.542469)
1911,51.4484,-2.50016,POINT (-2.50016 51.4484)
1912,51.448254,-2.496001,POINT (-2.496001 51.448254)
1913,51.53552,-2.54594,POINT (-2.54594 51.53552)
1914,50.723136,-1.961436,POINT (-1.961436 50.723136)
1915,50.723087,-1.96116,POINT (-1.96116 50.723087)
1916,51.66821,-2.63051,POINT (-2.63051 51.66821)
1917,50.722212,-1.864415,POINT (-1.864415 50.722212)
1918,50.720582,-1.862266,POINT (-1.862266 50.720582)
1919,50.769621,-1.901457,POINT (-1.901457 50.769621)
1920,50.71851,-1.978214,POINT (-1.978214 50.71851)
1921,50.72451,-1.86925,POINT (-1.86925 50.72451)
1922,50.71927,-1.86847,POINT (-1.86847 50.71927)
1923,50.719249,-1.868186,POINT (-1.868186 50.719249)
1924,50.723802,-1.906521,POINT (-1.906521 50.723802)
1926,50.714549,-1.992038,POINT (-1.992038 50.714549)
1927,50.726481,-1.836888,POINT (-1.836888 50.726481)
1928,50.728205,-1.838771,POINT (-1.838771 50.728205)
1929,50.728997,-1.838254,POINT (-1.838254 50.728997)
1930,50.729018,-1.83877,POINT (-1.83877 50.729018)
1931,51.621186,-1.299515,POINT (-1.299515 51.621186)
1932,51.621074,-1.29808,POINT (-1.29808 51.621074)
1933,51.623854,-1.296356,POINT (-1.296356 51.623854)
1934,51.622394,-1.298084,POINT (-1.298084 51.622394)
1935,51.618908,-1.299507,POINT (-1.299507 51.618908)
1936,51.619906,-1.300036,POINT (-1.300036 51.619906)
1937,51.477406,-2.706781,POINT (-2.706781 51.477406)
1938,51.477207,-2.706308,POINT (-2.706308 51.477207)
1939,51.480736,-1.556786,POINT (-1.556786 51.480736)
1940,51.481232,-1.556154,POINT (-1.556154 51.481232)
1941,51.656587,-2.431337,POINT (-2.431337 51.656587)
1942,51.657009,-2.427565,POINT (-2.427565 51.657009)
1943,51.793844,-1.283544,POINT (-1.283544 51.793844)
1944,51.794102,-1.28416,POINT (-1.28416 51.794102)
1945,51.793447,-1.283786,POINT (-1.283786 51.793447)
1946,51.269816,-2.923372,POINT (-2.923372 51.269816)
1947,51.269279,-2.919061,POINT (-2.919061 51.269279)
1948,51.269347,-2.918496,POINT (-2.918496 51.269347)
1949,50.90253,-1.4107,POINT (-1.4107 50.90253)
1950,50.907698,-1.415068,POINT (-1.415068 50.907698)
1951,50.903347,-1.41162,POINT (-1.41162 50.903347)
1952,50.906059,-1.414724,POINT (-1.414724 50.906059)
1953,50.901462,-1.410827,POINT (-1.410827 50.901462)
1954,50.900767,-1.414723,POINT (-1.414723 50.900767)
1955,50.903885,-1.415282,POINT (-1.415282 50.903885)
1956,50.904911,-1.414174,POINT (-1.414174 50.904911)
1957,51.473051,-2.564528,POINT (-2.564528 51.473051)
1958,51.511782,-2.158709,POINT (-2.158709 51.511782)
1959,51.509968,-2.15813,POINT (-2.15813 51.509968)
1960,51.587935,-2.836564,POINT (-2.836564 51.587935)
1961,50.958086,-1.448123,POINT (-1.448123 50.958086)
1962,51.819741,-2.227603,POINT (-2.227603 51.819741)
1963,51.818814,-2.224456,POINT (-2.224456 51.818814)
1964,51.451977,-2.60295,POINT (-2.60295 51.451977)
1965,51.454872,-2.60706,POINT (-2.60706 51.454872)
1966,51.455474,-2.609505,POINT (-2.609505 51.455474)
1967,51.452629,-2.60201,POINT (-2.60201 51.452629)
1968,51.45095,-2.60513,POINT (-2.60513 51.45095)
1969,51.452301,-2.60368,POINT (-2.60368 51.452301)
1970,51.452629,-2.60201,POINT (-2.60201 51.452629)
1971,51.449326,-2.6002,POINT (-2.6002 51.449326)
1972,51.448218,-2.595233,POINT (-2.595233 51.448218)
1973,51.448961,-2.595335,POINT (-2.595335 51.448961)
1974,51.449364,-2.596012,POINT (-2.596012 51.449364)
1975,51.4475,-2.596749,POINT (-2.596749 51.4475)
1976,51.44264,-2.61318,POINT (-2.61318 51.44264)
1977,51.445625,-2.614842,POINT (-2.614842 51.445625)
1978,51.445312,-2.615359,POINT (-2.615359 51.445312)
1979,51.45332,-2.58717,POINT (-2.58717 51.45332)
1980,51.456799,-2.58516,POINT (-2.58516 51.456799)
1981,51.453,-2.588709,POINT (-2.588709 51.453)
1982,51.45188,-2.584813,POINT (-2.584813 51.45188)
1983,51.450722,-2.586599,POINT (-2.586599 51.450722)
1984,51.451943,-2.584784,POINT (-2.584784 51.451943)
1985,51.4526,-2.587115,POINT (-2.587115 51.4526)
1986,51.214881,-1.535443,POINT (-1.535443 51.214881)
1987,51.213794,-1.534957,POINT (-1.534957 51.213794)
1988,50.915478,-1.260252,POINT (-1.260252 50.915478)
1989,50.91519,-1.26076,POINT (-1.26076 50.91519)
1990,50.915213,-1.260028,POINT (-1.260028 50.915213)
1991,51.579445,-2.986016,POINT (-2.986016 51.579445)
1992,51.580023,-2.98581,POINT (-2.98581 51.580023)
1993,51.579535,-2.985081,POINT (-2.985081 51.579535)
1994,51.468163,-2.597067,POINT (-2.597067 51.468163)
1995,51.467626,-2.596262,POINT (-2.596262 51.467626)
1996,51.166862,-2.188437,POINT (-2.188437 51.166862)
1997,51.750041,-2.283386,POINT (-2.283386 51.750041)
1998,51.74992,-2.28311,POINT (-2.28311 51.74992)
1999,50.863543,-1.273889,POINT (-1.273889 50.863543)
2000,50.863261,-1.273966,POINT (-1.273966 50.863261)
2001,52.036865,-2.423459,POINT (-2.423459 52.036865)
2002,52.415501,-1.7894,POINT (-1.7894 52.415501)
2003,52.414417,-1.788222,POINT (-1.788222 52.414417)
2004,52.421627,-1.855383,POINT (-1.855383 52.421627)
2005,52.323723,-1.559589,POINT (-1.559589 52.323723)
2006,52.273751,-2.130996,POINT (-2.130996 52.273751)
2007,52.19167,-2.21637,POINT (-2.21637 52.19167)
2008,52.193401,-2.21758,POINT (-2.21758 52.193401)
2009,52.19244,-2.216163,POINT (-2.216163 52.19244)
2010,52.286408,-1.611776,POINT (-1.611776 52.286408)
2011,52.363658,-1.946344,POINT (-1.946344 52.363658)
2012,52.363227,-1.945595,POINT (-1.945595 52.363227)
2013,52.216484,-1.504922,POINT (-1.504922 52.216484)
2014,52.219132,-1.503032,POINT (-1.503032 52.219132)
2015,52.21917,-1.501274,POINT (-1.501274 52.21917)
2016,52.407047,-1.516623,POINT (-1.516623 52.407047)
2017,52.406736,-1.510017,POINT (-1.510017 52.406736)
2018,52.405368,-1.515498,POINT (-1.515498 52.405368)
2019,52.406007,-1.515772,POINT (-1.515772 52.406007)
2020,52.402002,-1.511765,POINT (-1.511765 52.402002)
2021,52.406657,-1.516466,POINT (-1.516466 52.406657)
2022,52.406651,-1.516348,POINT (-1.516348 52.406651)
2023,52.429496,-2.018623,POINT (-2.018623 52.429496)
2024,52.429094,-2.016584,POINT (-2.016584 52.429094)
2025,52.065249,-2.157052,POINT (-2.157052 52.065249)
2026,52.414815,-1.50256,POINT (-1.50256 52.414815)
2027,52.412037,-1.503726,POINT (-1.503726 52.412037)
2028,52.410334,-1.502293,POINT (-1.502293 52.410334)
2029,52.40976,-1.50937,POINT (-1.50937 52.40976)
2030,52.409523,-1.503842,POINT (-1.503842 52.409523)
2031,52.036303,-1.31908,POINT (-1.31908 52.036303)
2032,52.035749,-1.318498,POINT (-1.318498 52.035749)
2033,52.037164,-1.318484,POINT (-1.318484 52.037164)
2034,52.394437,-1.778337,POINT (-1.778337 52.394437)
2035,52.39511,-1.77905,POINT (-1.77905 52.39511)
2036,52.410553,-1.510195,POINT (-1.510195 52.410553)
2037,52.408594,-1.516461,POINT (-1.516461 52.408594)
2038,52.394364,-1.505313,POINT (-1.505313 52.394364)
2039,52.394307,-1.5069,POINT (-1.5069 52.394307)
2040,52.394527,-1.504105,POINT (-1.504105 52.394527)
2041,52.394333,-1.504928,POINT (-1.504928 52.394333)
2042,52.394335,-1.505827,POINT (-1.505827 52.394335)
2043,52.394333,-1.506354,POINT (-1.506354 52.394333)
2044,52.396935,-1.5082,POINT (-1.5082 52.396935)
2045,52.397131,-1.508303,POINT (-1.508303 52.397131)
2046,52.397682,-1.50569,POINT (-1.50569 52.397682)
